"id","sentiment"
id,0.49998
"12311_10",0.506599
"8348_2",0.493786
"5828_4",0.499586
"7186_2",0.499057
"12128_7",0.502442
"2913_8",0.501191
"4396_1",0.493462
"395_2",0.496372
"10616_1",0.482188
"9074_9",0.501223
"9252_3",0.50105
"9896_9",0.499604
"574_4",0.494103
"11182_8",0.501992
"11656_4",0.498764
"2322_4",0.500462
"8703_1",0.496997
"7483_1",0.495679
"6007_10",0.505935
"12424_4",0.498024
"4672_1",0.494499
"10841_3",0.497077
"8954_7",0.496594
"7392_1",0.498715
"10288_8",0.502823
"5343_4",0.494626
"4950_1",0.490823
"9257_4",0.500836
"8689_3",0.496976
"4480_2",0.496644
"9286_10",0.500781
"12245_10",0.50678
"7529_7",0.501008
"4_4",0.497952
"5299_2",0.495197
"12077_8",0.501355
"10701_2",0.490837
"11579_1",0.49272
"10993_1",0.496651
"8913_1",0.493751
"1350_3",0.496311
"3804_2",0.492961
"5025_3",0.4996
"5170_8",0.500112
"8225_8",0.505124
"6427_7",0.503312
"3165_3",0.49936
"7902_9",0.506594
"8208_3",0.493258
"3577_8",0.503043
"4865_1",0.491347
"9063_3",0.500294
"1106_1",0.495626
"1117_9",0.505218
"1050_4",0.502343
"10755_9",0.501711
"2729_8",0.50209
"10072_10",0.503055
"2904_7",0.503762
"4584_2",0.501265
"189_4",0.500442
"6302_4",0.498719
"8138_9",0.501797
"1262_1",0.494838
"2199_10",0.504052
"6551_7",0.501808
"8082_7",0.5002
"4897_8",0.504927
"7360_1",0.496368
"11012_10",0.503133
"12046_1",0.499464
"2331_2",0.497303
"8961_9",0.501879
"751_7",0.500981
"9884_10",0.501736
"10016_8",0.501776
"8023_10",0.500044
"2628_1",0.493871
"5832_1",0.493586
"7302_1",0.494136
"4501_3",0.498055
"1121_7",0.500475
"8334_3",0.498276
"9789_10",0.495557
"4230_10",0.498863
"824_4",0.496443
"6803_9",0.503738
"3086_7",0.499883
"1135_8",0.501622
"10136_1",0.492465
"11129_3",0.490823
"2072_8",0.502143
"9501_7",0.503916
"319_10",0.501949
"1693_7",0.503147
"10886_1",0.491883
"9406_8",0.503586
"10376_10",0.496902
